Sex,Age,ChargeDegree,DaysInJail,DaysInCustody,Priors,Label
Male,25,F,58,58,2,0
Male,35,M,2,33,18,1
Male,27,M,2,2,11,1
Male,33,F,1,2,1,0
Male,28,F,0,0,6,1
Male,20,F,1,2,3,1
Male,60,F,0,1,1,0
Male,53,M,1,1,0,0
Male,51,F,1,1,0,1
Male,25,F,31,32,1,0
Male,27,F,203,64,8,1
Female,54,F,1,1,0,0
Female,26,M,1,1,4,0
Male,24,M,1,2,6,0
Male,55,F,1,5,1,1
Male,26,F,2,26,0,0
Female,75,F,1,1,5,0
Male,36,F,0,1,16,1
Male,56,F,72,72,8,0
Male,34,F,2,12,0,1
Female,25,M,47,48,5,1
Male,46,F,0,1,0,0
Male,27,F,6,7,1,0
Male,42,M,0,21,15,1
Male,59,M,0,0,2,0
Male,39,F,14,15,1,0
Male,46,M,12,12,5,0
Male,25,F,0,1,1,0
Male,55,F,1,5,2,0
Male,35,M,1,18,1,1
Male,43,M,1,5,0,1
Female,21,M,1,1,0,0
Male,55,F,25,210,17,1
Male,27,F,1,1,1,1
Male,40,F,2,2,0,0
Male,32,M,5,0,2,1
Male,32,M,1,2,2,0
Male,36,M,2,3,4,1
Male,22,M,0,2,0,0
Female,31,F,2,2,0,0
Female,26,F,0,77,4,1
Female,50,M,3,4,30,1
Male,47,F,0,0,4,0
Male,36,F,1,6,2,0
Female,38,F,1,1,0,0
Male,53,F,0,1,0,0
Male,57,F,117,118,19,0
Male,22,F,19,15,5,1
Male,26,F,1,1,0,1
Female,24,F,14,14,1,0
Male,27,F,20,21,2,0
Female,49,F,3,4,4,0
Male,47,F,0,130,1,1
Male,30,F,1,124,8,1
Male,44,F,0,0,3,0
Male,34,F,1,2,1,0
Male,45,F,1,1,10,1
Male,50,M,0,0,2,0
Male,29,M,0,0,1,0
Female,22,F,1,0,1,1
Male,49,F,0,0,0,0
Male,49,F,19,66,1,1
Male,59,F,12,13,2,0
Male,32,M,27,28,6,0
Male,24,M,0,1,3,1
Male,40,M,1,1,0,0
Male,32,F,0,0,0,0
Male,27,F,799,800,10,1
Male,25,M,12,7,2,0
Female,62,F,41,5,2,1
Male,20,M,0,1,0,1
Male,37,M,1,1,20,0
Female,30,F,7,30,5,1
Male,23,F,0,1,1,1
Male,29,M,45,22,7,1
Male,24,F,58,58,1,0
Female,54,M,26,27,1,0
Male,66,F,0,1,3,0
Male,50,F,11,12,8,0
Male,50,F,0,1,7,0
Male,40,F,1,1,3,0
Female,30,M,0,1,4,1
Female,24,F,2,41,2,0
Male,24,F,0,1,0,1
Female,23,F,0,38,3,1
Male,54,M,2,1,3,1
Male,25,M,1,81,6,0
Male,46,M,1,2,1,0
Female,35,F,30,31,10,0
Male,25,F,266,266,1,0
Female,32,F,2,2,1,0
Male,25,M,4,1,0,1
Male,22,F,0,0,3,1
Male,33,F,0,5,16,1
Female,49,M,0,0,0,1
Male,30,F,105,105,10,0
Male,33,M,1,2,4,1
Male,24,F,0,0,0,0
Male,33,M,2,20,13,1
Male,37,M,0,2,0,0
Female,40,M,0,0,0,0
Male,27,F,229,230,1,0
Male,43,F,0,79,9,1
Male,26,F,56,56,11,0
Male,35,F,1,2,5,1
Male,25,F,6,252,12,1
Male,61,F,0,0,1,1
Male,53,F,51,51,1,1
Female,52,F,0,1,1,0
Male,26,M,143,5,7,1
Male,39,M,0,0,1,1
Male,47,F,0,1,5,0
Female,52,M,33,33,6,0
Female,34,F,3,34,14,0
Male,24,F,116,117,5,1
Male,20,M,11,12,0,1
Male,25,M,0,107,1,1
Male,31,M,32,7,3,0
Female,62,M,0,0,0,0
Female,60,F,13,13,0,0
Female,24,F,0,1,0,0
Female,56,F,4,11,1,1
Male,30,M,0,0,0,0
Male,41,M,47,47,17,1
Male,35,F,1,78,4,1
Female,28,M,0,0,0,0
Male,23,M,3,4,2,0
Male,20,F,0,42,0,1
Male,23,M,0,1,2,0
Male,21,F,1,3,0,1
Female,21,F,59,59,8,0
Female,35,F,14,14,2,0
Male,21,F,4,38,0,0
Male,41,M,0,1,12,0
Male,24,F,4,4,0,0
Male,20,F,192,1476,2,1
Male,28,F,1,1,9,1
Male,25,F,0,6,7,0
Male,49,F,1,1,3,0
Male,21,F,1,2,0,1
Female,27,F,3,23,3,1
Male,32,F,190,191,4,1
Male,50,M,2,2,4,0
Female,23,M,0,0,0,0
Male,34,M,0,1,0,0
Male,25,F,32,33,5,1
Female,33,F,43,43,2,1
Male,25,M,58,58,1,1
Male,30,M,0,1,0,0
Male,42,M,3,3,0,0
Female,29,F,34,2,11,1
Female,32,F,3,4,6,1
Male,24,F,1,1,5,0
Male,52,F,0,0,3,0
Female,26,M,0,1,3,0
Male,31,F,0,41,2,1
Male,25,F,57,57,5,0
Female,30,F,1,1,0,0
Male,20,M,4,15,0,1
Female,29,F,2,2,2,0
Male,31,F,77,78,0,0
Female,54,F,170,171,12,0
Female,37,M,1,1,1,0
Male,43,M,0,0,0,1
Male,49,F,3,4,8,1
Female,33,F,0,1,1,0
Male,20,F,83,83,1,0
Male,42,M,0,29,0,0
Male,44,F,8,13,0,1
Male,28,F,51,66,5,1
Male,32,F,414,259,4,1
Male,28,F,1,2,7,1
Male,38,F,158,158,0,0
Male,38,F,1,1,3,0
Female,34,M,1,72,0,0
Male,21,F,1,67,1,1
Male,36,F,31,68,1,1
Male,29,M,0,20,0,1
Male,34,F,0,1,4,1
Male,38,M,8,8,1,0
Male,36,F,24,25,0,0
Male,32,M,6,6,0,0
Male,23,M,0,1,0,0
Male,47,M,0,1,0,0
Male,20,F,0,0,0,0
Female,25,F,0,23,2,1
Male,35,M,0,1,0,0
Female,30,F,41,42,1,0
Female,28,M,1,1,1,0
Male,30,M,36,10,2,1
Female,45,M,44,44,3,0
Male,24,M,0,1,2,1
Male,20,F,1,0,17,1
Female,42,M,2,2,0,1
Male,24,F,47,12,10,1
Male,40,M,0,0,0,0
Male,27,F,5,6,1,0
Male,60,F,1,2,12,0
Male,33,M,0,18,6,0
Male,34,M,23,1,2,1
Male,24,M,0,5,4,0
Male,27,M,2,2,0,1
Male,29,F,355,355,7,1
Male,21,F,36,2,3,1
Male,30,F,108,109,10,1
Female,42,F,0,44,0,1
Male,27,F,2,10,0,0
Male,30,M,0,1,3,0
Male,22,F,0,1,1,1
Male,20,M,0,0,0,1
Male,57,M,1,1,0,0
Male,51,F,1,1,3,1
Male,21,F,0,1,0,0
Male,22,F,35,31,0,0
Male,35,F,353,354,4,1
Female,54,F,76,76,1,0
Male,58,F,4,5,2,0
Female,32,F,0,1,0,1
Female,39,F,1,24,22,1
Male,30,M,7,30,9,1
Male,20,F,209,137,0,1
Male,40,M,0,1,0,0
Female,45,M,0,0,5,0
Male,31,F,0,6,4,1
Male,23,F,27,7,4,0
Male,26,M,3,7,0,1
Male,44,M,2,2,0,0
Female,44,M,4,0,1,0
Male,21,F,0,6,0,1
Male,28,M,0,0,0,0
Male,28,M,1,1,2,0
Male,24,F,182,182,0,1
Male,28,F,0,0,0,0
Male,53,F,0,1,4,0
Male,47,F,183,184,1,0
Male,20,F,1,1,1,0
Male,30,F,2,1,1,1
Male,37,M,0,1,1,1
Male,60,F,18,18,1,0
Male,26,M,0,1,1,1
Male,26,F,1,1,2,1
Female,26,F,6,7,5,1
Male,21,F,1,2,0,0
Female,39,F,0,1360,1,0
Male,30,F,5,6,0,0
Male,44,F,2,11,2,0
Male,45,M,2,3,0,0
Male,30,F,0,4,1,0
Male,38,F,8,8,2,0
Male,23,F,0,1,6,1
Male,37,F,36,36,1,0
Male,46,M,0,1,0,0
Male,42,F,0,1,0,0
Female,20,F,11,12,0,1
Male,65,M,4,4,2,0
Male,54,M,3,3,4,0
Male,47,F,1,1,7,1
Male,39,F,26,25,5,1
Male,26,F,1,8,0,1
Male,29,M,1,26,7,1
Male,51,F,14,240,7,1
Male,44,M,0,0,0,0
Male,49,M,21,3,12,0
Male,22,F,0,51,0,1
Male,32,M,1,2,4,1
Male,20,F,56,56,4,1
Male,28,M,0,8,11,0
Male,45,M,1,1,0,0
Female,51,F,32,33,5,0
Male,27,F,1,442,4,1
Male,32,F,17,14,0,1
Male,43,F,5,5,2,0
Male,37,F,0,1,2,0
Male,26,F,1,0,0,1
Male,32,F,209,209,20,1
Male,26,M,0,1,0,0
Male,32,F,0,0,4,0
Male,39,F,13,14,3,0
Female,58,F,1,1,4,0
Male,33,M,0,1,0,0
Female,22,M,0,0,2,0
Male,26,M,0,1,6,1
Male,21,F,140,140,5,1
Male,31,F,35,34,0,1
Male,43,F,1,2,2,0
Male,25,F,1,1,0,0
Male,22,F,1,38,6,0
Male,30,F,133,134,6,0
Male,25,F,2,2,19,1
Male,20,F,1,29,1,1
Male,31,F,0,112,3,1
Male,33,F,3,2,1,1
Male,59,F,0,1,1,0
Male,21,F,1,2,3,0
Male,53,F,5,5,8,1
Male,34,M,1,1,2,0
Male,36,F,0,0,6,0
Male,23,F,1,117,0,0
Male,32,M,109,109,2,0
Male,32,M,1,1,11,1
Female,66,M,28,28,1,0
Male,66,M,1,1,0,0
Female,24,M,23,24,0,0
Male,30,F,602,29,7,1
Male,43,F,2,2,4,1
Male,35,M,11,11,3,0
Male,19,F,14,13,5,1
Male,22,M,4,4,1,1
Female,23,M,2,2,0,0
Male,62,F,36,36,15,0
Female,33,M,0,1,0,0
Male,35,M,0,0,1,0
Male,53,F,0,0,0,0
Male,59,F,23,1,17,1
Male,31,F,1,1,10,1
Male,28,F,1,0,3,1
Male,56,F,138,139,9,0
Male,51,F,17,390,1,0
Male,23,F,5,1,0,1
Male,21,F,0,8,0,0
Male,22,F,0,0,6,0
Male,29,M,1,1,0,0
Male,20,F,2,1,4,1
Male,44,M,0,1,0,0
Male,41,F,14,15,2,0
Female,28,F,0,0,5,0
Male,27,M,21,58,1,1
Male,31,M,1,1,7,0
Male,23,F,14,0,5,1
Male,33,M,0,1,16,1
Male,26,F,0,1,3,1
Male,20,F,1,0,2,0
Male,55,M,0,10,2,1
Male,36,F,1,1,0,0
Male,48,F,4,1,4,1
Male,22,F,2,2,5,1
Male,34,F,4,1,22,1
Female,59,F,5,7,1,0
Male,37,F,1,61,0,1
Female,28,F,0,1,0,1
Male,20,F,46,361,3,1
Male,31,F,1,1,0,0
Female,38,F,4,32,14,1
Male,33,F,3,15,0,1
Male,27,F,0,8,3,1
Male,25,M,1,52,2,1
Female,42,F,1,1,2,0
Male,22,F,26,53,3,1
Male,57,F,20,20,15,0
Male,45,F,27,2,1,1
Female,21,M,1,29,1,1
Male,52,M,1,1,2,0
Female,37,M,5,5,0,0
Male,34,F,0,6,1,0
Male,53,M,1,1,0,1
Female,30,F,1,1,8,1
Male,35,M,1,6,0,0
Male,28,F,4,4,1,0
Male,22,F,43,44,1,0
Male,42,M,0,1,1,1
Male,26,F,0,0,3,1
Male,54,M,1,1,9,0
Male,39,F,0,6,1,1
Male,30,F,317,248,22,1
Female,26,F,27,118,1,1
Male,23,M,54,23,7,1
Male,43,F,64,44,1,1
Male,22,M,0,3,0,1
Female,27,F,1,5,6,1
Female,42,M,34,35,2,0
Male,25,F,29,2,8,1
Male,49,M,35,36,4,0
Male,26,F,38,56,8,1
Male,52,F,24,25,1,0
Female,60,F,1,1,2,0
Male,30,M,1,100,2,0
Male,48,F,3,1,9,1
Male,32,F,1,2,2,1
Male,28,F,1,2,4,1
Male,24,F,1,2,5,1
Female,26,F,7,8,3,1
Male,22,F,214,214,3,1
Male,44,F,1,2,2,0
Male,32,F,86,3,3,0
Female,27,M,0,1,1,0
Male,52,M,0,0,15,1
Male,61,M,0,0,3,1
Male,69,M,0,0,3,0
Male,51,F,34,34,2,0
Female,21,F,1,18,1,0
Male,31,M,3,1,3,1
Male,19,F,30,30,5,1
Male,24,M,36,37,17,1
Male,24,F,6,1,3,1
Male,57,F,1,1,3,0
Male,30,F,6,7,6,0
Male,43,F,1,2,4,1
Male,24,F,4,1,5,0
Female,30,M,17,18,7,0
Male,25,F,1,1,5,1
Female,56,F,169,215,1,0
Male,21,F,8,258,1,0
Male,31,F,31,507,9,1
Female,23,F,1,1,1,0
Male,30,F,1,994,18,1
Male,42,M,0,0,1,0
Male,64,F,108,199,0,0
Female,21,F,0,1,0,1
Male,36,F,11,11,5,0
Female,50,F,1,1,1,0
Male,23,M,0,1,0,1
Male,28,F,49,49,2,0
Female,25,F,0,5,5,0
Male,28,F,39,39,8,1
Male,54,M,28,90,14,1
Male,37,M,1,1,6,0
Male,25,M,14,15,6,1
Male,63,M,3,3,0,1
Male,35,M,1,1,2,0
Male,20,F,64,281,18,1
Male,26,M,0,38,0,1
Male,25,M,1,3,8,1
Male,29,F,1,2,7,0
Male,27,M,0,1,2,0
Male,37,M,0,1,14,1
Female,20,M,0,36,6,1
Male,32,F,1,1,1,1
Male,72,M,1,1,1,0
Male,38,F,2,3,0,0
Male,40,F,0,1,0,0
Male,23,F,0,1,0,0
Male,21,F,1,6,5,1
Male,55,F,0,22,13,1
Female,41,M,0,1,0,0
Male,56,M,2,2,1,0
Male,55,M,57,18,11,0
Female,23,F,1,27,0,1
Male,28,F,0,1,3,0
Male,31,F,13,13,2,1
Male,56,M,49,22,3,0
Male,53,M,0,1,0,0
Male,27,F,10,66,6,1
Male,22,F,0,1,0,1
Female,22,F,0,1,1,1
Male,33,M,1,130,7,1
Male,34,F,6,4,15,0
Male,22,M,0,1,0,1
Male,32,F,1,1,12,0
Male,47,F,0,108,19,1
Male,24,M,0,0,0,0
Male,25,F,83,118,22,1
Male,56,F,0,0,0,0
Male,36,F,106,107,1,1
Male,28,F,21,21,4,1
Male,20,F,0,16,4,1
Male,59,M,1,1,0,0
Female,29,F,0,1,11,0
Male,72,F,4,5,3,0
Female,24,M,14,14,2,1
Male,45,F,36,36,3,0
Male,30,M,2,1,7,1
Male,45,M,0,1,0,0
Male,24,F,9,27,0,1
Male,20,M,2,1,0,1
Male,51,F,0,1,6,1
Male,22,F,0,1,2,0
Female,49,M,11,12,2,1
Male,49,F,12,13,1,0
Female,34,F,41,194,2,1
Female,28,M,1,1,0,0
Male,33,M,1,2,2,0
Male,21,M,1,2,0,0
Male,26,F,0,22,18,1
Female,28,M,7,7,2,0
Male,48,F,126,126,1,1
Male,58,F,3,3,24,1
Female,20,F,23,0,5,1
Male,28,M,0,22,0,1
Male,21,F,4,4,0,1
Male,26,F,0,1,0,0
Male,34,M,0,1,3,0
Male,32,F,7,0,17,1
Male,38,F,10,1,11,1
Male,22,F,1,1,0,0
Male,42,F,0,39,2,1
Female,57,M,1,1,0,0
Female,56,F,1,1,1,0
Male,32,M,0,1,2,1
Male,30,F,0,2,15,0
Male,46,F,6,43,16,1
Male,36,F,1,119,7,0
Female,70,F,1,2,1,0
Female,45,M,0,1,1,0
Female,33,M,2,2,2,0
Female,39,F,0,1,7,0
Male,25,F,1,2,7,0
Male,48,M,1,1,1,0
Female,32,M,28,29,1,1
Male,28,M,2,3,0,1
Male,27,F,1,1,1,0
Male,43,F,76,77,11,1
Male,56,F,21,12,5,1
Male,30,F,50,7,9,1
Male,29,F,0,62,1,0
Male,54,F,0,13,8,1
Male,29,F,0,1,0,0
Male,67,M,0,1,0,0
Male,24,F,0,81,11,1
Male,29,F,177,178,3,0
Male,45,M,28,29,2,0
Male,31,F,11,3,5,1
Male,23,F,7,36,0,1
Male,21,F,8,18,0,1
Male,61,M,0,1,0,0
Female,51,M,20,78,5,1
Male,32,F,15,15,1,0
Male,43,F,0,1,9,0
Male,32,M,1,1,0,0
Male,36,F,0,1,0,0
Male,58,F,15,5,3,1
Male,57,F,50,51,12,0
Male,37,F,0,0,2,0
Male,44,F,1,2,6,0
Male,28,M,116,117,11,0
Male,45,F,0,1378,8,1
Male,48,F,2,2,1,0
Male,26,F,0,4,15,1
Male,34,F,1,1,10,1
Male,25,F,1,2,0,0
Male,31,M,0,1,8,1
Male,50,M,0,1,0,0
Female,31,F,1,5,2,0
Female,33,M,0,1,7,0
Male,32,F,19,37,1,1
Female,46,M,2,2,0,1
Male,22,F,1,15,0,0
Male,37,F,1,1,8,1
Female,32,F,8,20,6,1
Female,23,F,1,1,2,1
Male,21,F,0,0,0,0
Male,52,F,1,7,2,0
Male,49,M,1,1,2,0
Male,55,F,36,36,3,1
Male,45,F,13,13,0,0
Female,31,F,1,1,7,1
Male,22,M,1,2,1,1
Male,28,M,1,1,5,0
Male,21,F,11,11,1,1
Male,37,M,1,1,3,0
Male,30,F,1,0,23,1
Male,22,F,0,239,14,1
Male,35,F,1,57,24,1
Male,28,F,26,26,14,0
Male,24,F,1,1,1,0
Male,44,F,65,66,9,0
Male,32,F,2,79,28,1
Male,29,F,13,14,5,1
Male,57,F,1,1,19,0
Male,21,M,0,1,0,0
Male,51,M,91,92,0,0
Male,34,F,216,1555,6,1
Male,20,F,1,0,3,1
Male,25,M,32,33,7,0
Male,19,M,2,5,0,1
Male,49,F,20,156,1,1
Male,57,M,9,9,27,0
Female,27,M,0,1,0,0
Male,66,M,19,19,1,0
Female,25,M,16,60,4,1
Male,45,F,0,0,1,0
Male,38,F,202,3,6,1
Male,37,F,19,20,29,0
Male,44,F,16,1,13,1
Male,64,F,4,4,0,0
Male,30,F,0,0,1,1
Male,61,M,2,2,1,0
Female,49,F,8,9,8,0
Male,33,F,67,68,14,0
Male,21,F,0,23,0,1
Female,30,F,43,142,2,1
Male,26,M,1,2,8,0
Male,35,M,1,5,3,1
Male,27,M,1,22,3,0
Male,38,M,14,15,1,0
Male,48,F,142,142,14,1
Male,24,F,26,1,5,1
Female,28,F,0,1,2,1
Female,44,F,5,47,4,1
Male,23,F,13,13,3,0
Female,34,F,12,43,1,1
Male,20,F,1,17,2,1
Male,63,F,2,56,23,1
Female,36,M,0,0,0,0
Male,58,F,79,1427,1,0
Male,25,F,0,0,7,1
Male,46,M,0,0,5,0
Female,35,F,13,23,4,0
Male,23,F,1,1,3,0
Male,40,F,21,21,1,0
Male,31,F,0,1,3,0
Female,34,F,1,1,5,0
Male,23,M,13,1,3,1
Male,27,M,4,4,0,1
Female,26,F,27,27,3,0
Male,49,F,24,25,1,0
Female,47,M,1,1,0,0
Male,47,F,5,5,6,0
Male,34,F,0,0,7,1
Male,45,M,5,6,1,0
Male,27,F,7,8,10,0
Male,25,F,2,18,10,0
Male,51,F,162,163,1,0
Female,29,M,0,65,1,0
Male,28,F,2,66,6,0
Male,57,F,1,1,0,0
Male,34,F,118,182,27,1
Male,27,F,12,12,3,0
Male,25,M,3,3,8,1
Male,31,F,32,24,1,1
Male,37,F,1,1,8,0
Male,51,F,1,2,0,1
Male,51,M,2,2,3,0
Male,28,F,40,2,9,0
Male,56,F,7,7,4,0
Male,45,F,330,137,15,1
Male,26,F,18,18,7,1
Male,33,F,1,1,7,1
Male,23,M,1,1,3,0
Male,31,M,0,0,0,0
Male,31,M,1,1,0,0
Male,19,F,4,3,2,0
Male,30,M,0,0,1,1
Female,48,F,57,57,9,0
Male,66,F,0,1,1,0
Female,40,F,0,0,0,0
Male,59,M,0,1,4,0
Male,25,F,85,85,5,0
Male,27,M,1,1,3,0
Male,58,F,0,3,1,0
Male,29,F,2,2,2,0
Female,44,F,26,63,11,1
Male,24,F,6,6,2,0
Male,27,F,60,33,0,1
Female,34,F,24,23,5,1
Male,24,F,1,5,0,0
Female,35,F,0,0,4,0
Male,29,F,2,2,10,1
Male,30,F,2,3,6,1
Male,23,F,2,7,3,0
Male,32,F,0,1,2,1
Male,22,F,3,4,2,0
Female,43,M,0,0,0,0
Male,29,F,2,107,0,0
Male,43,F,1,2,1,0
Male,25,F,2,2,1,0
Female,21,F,0,1,0,0
Male,54,M,0,0,0,0
Male,34,F,33,34,4,1
Female,28,M,1,1,2,0
Female,53,F,0,8,4,1
Male,37,F,83,83,3,1
Male,34,F,0,1,2,0
Male,50,M,113,114,11,0
Female,60,F,1,1,0,1
Male,51,F,0,0,3,0
Male,29,F,12,13,0,1
Female,28,F,1,5,1,0
Male,36,F,2,12,6,0
Male,28,M,27,28,6,0
Male,43,M,2,2,4,0
Male,45,M,26,27,1,0
Male,32,F,65,65,5,1
Female,35,F,1,14,0,1
Male,23,F,1,171,1,1
Male,41,M,113,114,1,0
Male,25,F,0,129,44,1
Male,35,F,10,10,13,0
Male,25,F,43,568,4,1
Male,69,F,1,9,6,1
Male,24,M,1,1,0,0
Male,21,F,63,63,3,1
Male,28,F,0,2,0,0
Male,47,F,403,403,23,1
Male,29,F,1,345,14,1
Male,36,F,0,3,14,1
Male,26,F,2,211,9,1
Male,31,M,2,3,0,0
Male,32,F,0,1,8,1
Female,27,F,88,1595,3,1
Male,28,F,1,6,0,0
Male,23,F,164,164,2,1
Male,42,M,0,1,7,0
Male,39,F,4,10,5,0
Female,46,F,3,3,2,0
Male,55,M,10,10,0,0
Male,27,F,4,4,5,1
Female,31,M,4,5,0,0
Male,32,M,0,0,8,0
Male,36,F,0,1,2,0
Male,21,F,4,7,3,1
Male,39,M,0,0,2,0
Female,26,M,0,0,0,0
Male,28,F,20,495,8,1
Male,67,M,0,0,2,1
Female,22,F,2,2,0,0
Male,37,M,0,1,3,0
Male,23,M,2,2,2,1
Female,49,M,122,122,14,1
Male,32,M,4,5,9,1
Male,41,M,32,33,9,0
Male,25,M,0,0,1,0
Male,58,M,0,1,0,0
Male,44,M,17,67,21,1
Male,28,F,15,1,1,0
Female,39,F,2,2,0,1
Male,54,F,6,7,0,0
Male,21,M,53,53,0,1
Male,31,M,0,0,5,0
Male,30,F,117,117,16,0
Male,27,M,1,1,8,1
Male,28,M,1,0,0,1
Male,44,M,5,21,10,1
Male,51,F,30,30,4,0
Male,24,F,0,78,11,1
Male,31,F,229,230,1,0
Male,23,F,1,2,0,0
Male,26,M,84,0,11,1
Male,36,M,0,21,5,1
Male,24,F,1,4,0,1
Male,66,M,0,1,0,0
Female,36,F,25,2,4,0
Male,53,F,130,99,9,1
Male,23,F,0,45,1,1
Female,22,M,0,3,0,1
Male,25,F,0,1,2,0
Male,56,F,2,2,4,0
Male,29,F,33,33,1,0
Male,29,F,4,5,10,1
Male,51,F,1,1,1,1
Female,58,M,18,18,3,0
Male,24,M,0,0,6,0
Male,22,F,71,97,0,1
Male,20,F,42,2,3,1
Male,46,F,73,5,10,1
Male,38,F,0,14,1,1
Male,23,M,3,31,0,1
Male,39,F,26,26,6,0
Male,25,F,1,76,0,0
Male,31,F,0,0,19,1
Female,25,M,0,1,1,1
Male,26,F,1,2,6,0
Male,25,F,274,34,3,0
Male,37,F,1,1,11,1
Male,36,F,0,7,0,0
Male,26,F,0,50,1,1
Male,21,F,0,0,5,1
Male,35,F,0,1,7,1
Male,36,M,1,1,0,0
Male,24,M,12,1,2,1
Male,21,F,0,1520,1,1
Male,32,F,70,83,18,1
Male,33,M,0,0,2,1
Male,33,F,2,2,10,1
Female,23,M,43,15,4,1
Male,50,F,172,173,8,0
Male,32,F,6,7,5,1
Male,33,F,2,8,14,1
Male,37,F,0,1,14,1
Male,27,F,24,2,9,1
Female,52,F,19,20,21,1
Male,21,M,0,1,1,1
Male,58,F,60,61,1,0
Male,27,F,33,33,4,0
Male,28,F,28,128,5,1
Male,28,F,30,24,1,1
Male,30,F,40,40,12,1
Male,24,M,6,7,3,0
Male,26,F,18,493,6,1
Male,43,M,1,1,0,0
Male,31,F,43,43,3,1
Male,22,F,1,22,3,1
Male,23,F,3,119,0,0
Male,42,M,0,1,0,0
Male,30,M,17,6,21,0
Male,29,F,290,290,1,0
Male,38,F,47,49,2,1
Male,26,M,2,85,4,0
Female,25,F,36,101,4,1
Male,51,M,4,5,5,0
Male,36,M,0,0,0,0
Male,62,M,1,1,0,0
Male,34,F,0,1,7,1
Male,35,M,1,1,1,0
Male,22,F,3,44,0,0
Male,29,M,108,172,10,1
Male,26,F,0,127,8,1
Male,25,F,0,0,1,1
Male,27,F,8,8,2,0
Male,20,F,1,22,0,1
Male,27,F,2,1,1,0
Female,24,M,310,99,6,0
Male,42,F,2,3,0,0
Male,46,F,29,54,1,1
Male,25,F,7,1,0,0
Male,30,M,1,2,1,0
Male,46,M,4,4,9,0
Male,33,F,0,23,0,1
Male,40,M,1,1,1,0
Male,34,F,28,28,0,0
Male,22,F,36,37,1,1
Male,28,M,0,1,3,0
Male,31,M,1,1,4,1
Male,59,M,1,3,3,1
Male,37,F,0,1,0,0
Male,50,F,2,2,0,0
Female,21,F,26,26,2,1
Male,57,F,99,185,8,1
Male,31,M,0,3,5,0
Male,44,F,25,8,9,0
Male,48,F,242,0,5,1
Female,25,F,1,1,0,0
Male,51,M,0,0,5,0
Male,50,F,0,1,0,1
Male,57,F,2,0,2,0
Male,55,M,0,1,0,0
Male,59,F,1,43,4,1
Female,42,F,0,0,0,0
Male,20,F,21,156,4,1
Male,58,F,29,91,16,0
Male,21,F,28,29,0,0
Male,32,F,64,64,21,1
Female,24,M,0,0,0,0
Male,42,F,1,1,1,0
Male,29,F,13,5,8,1
Male,21,F,7,8,1,0
Male,31,M,0,0,1,1
Male,58,M,0,0,0,0
Male,22,F,0,1,2,1
Male,46,M,0,1,1,1
Male,50,M,14,14,0,1
Male,46,F,0,36,2,0
Female,44,F,15,27,12,1
Male,35,M,29,30,4,0
Male,30,F,2,2,15,1
Male,42,F,0,1,2,0
Male,46,F,202,2,5,1
Male,42,F,34,34,0,1
Male,37,F,25,28,12,0
Male,29,F,1,131,7,1
Male,32,F,4,39,9,0
Male,31,F,3,1,5,0
Female,33,M,1,2,1,0
Male,25,F,183,143,4,0
Female,33,M,1,1,0,0
Female,64,M,76,76,7,0
Male,35,F,49,1,1,1
Male,56,F,2,3,1,0
Male,38,M,2,1,0,1
Female,40,M,1,1,4,0
Male,34,F,94,116,3,0
Male,28,F,1,24,5,0
Male,51,M,1,1,0,0
Male,35,M,1,2,2,0
Male,61,F,12,47,5,0
Male,25,F,0,15,4,1
Male,42,M,2,3,1,0
Female,25,F,0,6,1,0
Male,26,M,0,7,14,1
Male,31,F,0,1674,9,0
Male,35,F,1,1,2,0
Female,41,F,9,4,4,1
Male,34,F,116,116,0,0
Male,46,M,0,1,5,0
Female,33,M,0,1,1,0
Male,30,F,0,1,4,0
Female,50,M,1,1,7,0
Male,21,F,50,81,0,0
Male,31,F,482,483,16,1
Male,31,F,3,3,2,1
Female,23,M,0,1,0,0
Male,25,F,1,29,1,0
Female,24,F,1,1,1,0
Male,31,M,0,1,13,1
Male,60,F,2,2,0,0
Male,30,F,0,1,2,0
Female,32,M,0,1,0,0
Male,46,M,0,0,0,0
Male,35,F,1,1,0,0
Male,34,F,9,35,2,1
Male,41,F,161,25,2,1
Female,40,M,1,3,7,0
Male,23,F,15,30,1,1
Male,23,F,1,2,3,1
Male,28,M,2,1,2,0
Male,46,M,3,1,3,0
Male,56,F,0,1,1,0
Male,41,F,62,62,19,0
Male,40,F,0,7,8,1
Male,30,F,2,2,5,1
Male,24,M,0,1,1,1
Male,25,F,12,13,8,0
Male,48,M,4,1,2,0
Male,33,F,44,45,11,1
Male,25,F,1,1,6,1
Male,58,F,87,77,38,1
Male,30,F,0,1,9,1
Male,37,F,2,3,0,1
Female,43,F,8,9,7,0
Male,32,F,1,5,0,0
Male,33,F,0,1,3,0
Male,39,F,0,6,5,1
Male,49,F,5,6,4,0
Male,24,F,18,19,0,0
Male,26,F,0,3,1,0
Male,42,F,1,2,0,0
Male,22,F,6,2,1,1
Male,36,F,0,0,0,0
Male,29,M,27,6,8,1
Male,39,M,18,18,0,0
Male,27,F,14,1,16,1
Male,38,F,7,7,2,1
Male,20,F,3,4,0,1
Male,25,F,86,23,6,1
Female,27,M,6,7,0,1
Male,21,F,6,1,0,1
Male,50,M,5,13,1,1
Male,41,F,0,1,4,0
Male,34,F,530,151,4,1
Male,22,F,4,35,7,1
Male,22,F,2,6,2,1
